university,total_papers,total_cites,avg_cites_per_paper,total_top_papers,best_rank,avg_rank,cluster_id,university_upper
"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS",15214.0,383077.0,24.28333333333333,456.0,47,278.3333333333333,3,"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS"
UNIVERSITY OF HELSINKI,55121.0,1589059.0,27.894545454545458,1323.0,78,279.77272727272725,3,UNIVERSITY OF HELSINKI
UNIVERSITE DE MONTREAL,55074.0,1402953.0,25.097,1082.0,112,280.65,3,UNIVERSITE DE MONTREAL
OREGON HEALTH & SCIENCE UNIVERSITY,26652.0,950252.0,31.599999999999998,883.0,104,281.1111111111111,3,OREGON HEALTH & SCIENCE UNIVERSITY
UNIVERSITY OF NOTTINGHAM,42998.0,1221691.0,29.526999999999997,1078.0,94,282.8,3,UNIVERSITY OF NOTTINGHAM
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,23236.0,727399.0,30.436666666666667,553.0,111,284.55555555555554,3,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON
UNIVERSITE PSL,57233.0,1671990.0,26.75090909090909,1346.0,18,284.6363636363636,3,UNIVERSITE PSL
SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,19921.0,377588.0,18.99285714285714,349.0,29,285.0,3,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY
UNIVERSITY OF NAPLES FEDERICO II,51508.0,1191528.0,21.897,860.0,48,290.1,3,UNIVERSITY OF NAPLES FEDERICO II
ERASMUS MC,39521.0,1417906.0,39.158181818181816,1360.0,54,291.0,3,ERASMUS MC
BOSTON CHILDREN'S HOSPITAL,29023.0,1053891.0,47.08454545454545,884.0,52,291.6363636363636,3,BOSTON CHILDREN'S HOSPITAL
AUTONOMOUS UNIVERSITY OF BARCELONA,50067.0,1233537.0,24.717272727272725,1142.0,124,292.04545454545456,3,AUTONOMOUS UNIVERSITY OF BARCELONA
JOHNS HOPKINS MEDICINE,28560.0,1037524.0,40.017,1049.0,78,293.0,3,JOHNS HOPKINS MEDICINE
TECHNICAL UNIVERSITY OF DENMARK,35948.0,1123686.0,36.804,787.0,65,293.25,3,TECHNICAL UNIVERSITY OF DENMARK
UNIVERSITY OF LIVERPOOL,41373.0,1190383.0,27.20052631578947,1054.0,140,300.3157894736842,3,UNIVERSITY OF LIVERPOOL
JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH,28375.0,926489.0,37.51416666666667,693.0,39,300.75,3,JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH
UK RESEARCH & INNOVATION (UKRI),39023.0,1294536.0,32.82722222222222,1102.0,19,303.8888888888889,3,UK RESEARCH & INNOVATION (UKRI)
UNIVERSITY OF CALIFORNIA IRVINE,43551.0,1315400.0,31.16409090909091,1247.0,93,305.0,3,UNIVERSITY OF CALIFORNIA IRVINE
UNIVERSITY OF COLORADO BOULDER,40313.0,1319285.0,33.510000000000005,1186.0,16,305.89473684210526,3,UNIVERSITY OF COLORADO BOULDER
UNIVERSITY OF NEBRASKA SYSTEM,36928.0,896017.0,28.591,672.0,74,310.2,3,UNIVERSITY OF NEBRASKA SYSTEM
NATIONAL TAIWAN UNIVERSITY,53690.0,1198591.0,19.69157894736842,819.0,142,310.94736842105266,3,NATIONAL TAIWAN UNIVERSITY
UNIVERSITY OF ARIZONA,48859.0,1324122.0,27.645238095238092,1267.0,27,312.6666666666667,3,UNIVERSITY OF ARIZONA
UNIVERSITY OF CALGARY,47397.0,1268481.0,25.47684210526316,1101.0,79,313.3157894736842,3,UNIVERSITY OF CALGARY
UNIVERSITY OF OSLO,55040.0,1566516.0,26.199047619047615,1381.0,79,313.5238095238095,3,UNIVERSITY OF OSLO
UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL CENTER,30719.0,1141027.0,36.787,1100.0,82,314.8,3,UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL CENTER
JILIN UNIVERSITY,83060.0,1569863.0,16.232105263157894,1138.0,18,315.2105263157895,3,JILIN UNIVERSITY
UNIVERSITY OF MARYLAND COLLEGE PARK,47638.0,1523716.0,30.051904761904762,1475.0,27,315.3333333333333,3,UNIVERSITY OF MARYLAND COLLEGE PARK
PRINCETON UNIVERSITY,37556.0,1397972.0,40.79600000000001,1486.0,18,318.95,3,PRINCETON UNIVERSITY
INRAE,61232.0,1514323.0,23.663333333333334,1232.0,5,320.72222222222223,3,INRAE
KING SAUD UNIVERSITY,73497.0,1210581.0,16.63736842105263,1088.0,40,321.7894736842105,3,KING SAUD UNIVERSITY
UNIVERSITY OF GLASGOW,39705.0,1343877.0,29.652105263157893,1375.0,82,322.36842105263156,3,UNIVERSITY OF GLASGOW
UNIVERSITY OF SHEFFIELD,38717.0,1124993.0,29.20578947368421,944.0,96,322.5263157894737,3,UNIVERSITY OF SHEFFIELD
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,43353.0,1654968.0,41.895,1856.0,38,323.6666666666667,3,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
WEILL CORNELL MEDICINE,35097.0,1380810.0,42.03363636363636,1528.0,56,327.45454545454544,3,WEILL CORNELL MEDICINE
LEIDEN UNIVERSITY,52191.0,1652466.0,33.59368421052631,1525.0,23,329.57894736842104,3,LEIDEN UNIVERSITY
KING ABDULAZIZ UNIVERSITY,47559.0,1404024.0,31.0995,1262.0,6,331.45,3,KING ABDULAZIZ UNIVERSITY
UNIVERSITY OF MISSOURI SYSTEM,44389.0,945538.0,21.189,749.0,91,332.8,3,UNIVERSITY OF MISSOURI SYSTEM
COPENHAGEN UNIVERSITY HOSPITAL,28387.0,916733.0,29.97555555555555,877.0,96,332.8888888888889,3,COPENHAGEN UNIVERSITY HOSPITAL
UNIVERSITY OF BONN,37373.0,1058444.0,30.158095238095235,920.0,82,333.04761904761904,3,UNIVERSITY OF BONN
UNIVERSIDADE DO PORTO,44172.0,1044919.0,22.391052631578948,712.0,54,336.36842105263156,3,UNIVERSIDADE DO PORTO
NATIONAL INSTITUTE FOR MATERIALS SCIENCE,16142.0,512953.0,32.464999999999996,522.0,64,337.25,3,NATIONAL INSTITUTE FOR MATERIALS SCIENCE
LEIDEN UNIVERSITY MEDICAL CENTER (LUMC),29796.0,967986.0,39.10272727272727,882.0,119,339.0,3,LEIDEN UNIVERSITY MEDICAL CENTER (LUMC)
ACADEMIC MEDICAL CENTER AMSTERDAM,16325.0,822410.0,46.534444444444446,582.0,105,340.0,3,ACADEMIC MEDICAL CENTER AMSTERDAM
NEWCASTLE UNIVERSITY - UK,33628.0,1042519.0,30.778421052631575,927.0,142,340.36842105263156,3,NEWCASTLE UNIVERSITY - UK
LEIDEN UNIVERSITY - EXCL LUMC,48731.0,1568686.0,34.00052631578947,1423.0,24,341.8421052631579,3,LEIDEN UNIVERSITY - EXCL LUMC
UNIVERSITY OF MILAN,58723.0,1492224.0,22.847,1301.0,50,342.15,3,UNIVERSITY OF MILAN
DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA,25880.0,971929.0,37.062,922.0,89,343.5,3,DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA
UNIVERSITY OF ALABAMA SYSTEM,53539.0,1498763.0,24.231052631578947,1275.0,74,345.4736842105263,3,UNIVERSITY OF ALABAMA SYSTEM
UNIVERSITY OF LEEDS,41548.0,1134055.0,26.75578947368421,1080.0,52,348.05263157894734,3,UNIVERSITY OF LEEDS
CARDIFF UNIVERSITY,32548.0,1029747.0,32.838421052631574,835.0,128,349.2631578947368,3,CARDIFF UNIVERSITY
AUSTRALIAN NATIONAL UNIVERSITY,38729.0,1157345.0,30.78952380952381,1013.0,65,349.5238095238095,3,AUSTRALIAN NATIONAL UNIVERSITY
HOWARD HUGHES MEDICAL INSTITUTE,20394.0,1685474.0,75.36818181818181,1584.0,5,349.72727272727275,3,HOWARD HUGHES MEDICAL INSTITUTE
UNIVERSITY OF AUCKLAND,36115.0,959758.0,26.24157894736842,823.0,113,350.5263157894737,3,UNIVERSITY OF AUCKLAND
XIAMEN UNIVERSITY,52440.0,1168540.0,20.011578947368424,1076.0,43,353.8421052631579,3,XIAMEN UNIVERSITY
VRIJE UNIVERSITEIT AMSTERDAM,55216.0,1744467.0,32.129000000000005,1630.0,22,354.2,3,VRIJE UNIVERSITEIT AMSTERDAM
COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (CSIR) - INDIA,57695.0,1166982.0,21.58,533.0,25,355.3333333333333,3,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH (CSIR) - INDIA
MONTEFIORE MEDICAL CENTER,18633.0,652580.0,32.30888888888889,574.0,193,359.3333333333333,3,MONTEFIORE MEDICAL CENTER
CALIFORNIA STATE UNIVERSITY SYSTEM,49183.0,1011744.0,23.32238095238095,732.0,43,360.6666666666667,3,CALIFORNIA STATE UNIVERSITY SYSTEM
FEINBERG SCHOOL OF MEDICINE,31717.0,987054.0,30.917,1004.0,108,363.7,3,FEINBERG SCHOOL OF MEDICINE
RADBOUD UNIVERSITY NIJMEGEN,50263.0,1569372.0,33.805,1360.0,61,364.6,3,RADBOUD UNIVERSITY NIJMEGEN
COMMUNAUTE UNIVERSITE GRENOBLE ALPES,49675.0,1249161.0,23.8865,890.0,49,366.75,3,COMMUNAUTE UNIVERSITE GRENOBLE ALPES
CHINA UNIVERSITY OF PETROLEUM,44724.0,798338.0,17.34,591.0,35,367.8888888888889,3,CHINA UNIVERSITY OF PETROLEUM
BAYLOR COLLEGE OF MEDICINE,42628.0,1379714.0,28.667272727272724,1208.0,48,368.09090909090907,3,BAYLOR COLLEGE OF MEDICINE
UNIVERSITE TOULOUSE III - PAUL SABATIER,42182.0,1106363.0,23.931,863.0,64,368.6,3,UNIVERSITE TOULOUSE III - PAUL SABATIER
UNIVERSITY OF UTAH,51270.0,1372398.0,26.59,1262.0,114,369.04545454545456,3,UNIVERSITY OF UTAH
UNIVERSITE GRENOBLE ALPES (UGA),49252.0,1238043.0,23.847,881.0,51,370.8,3,UNIVERSITE GRENOBLE ALPES (UGA)
TEL AVIV UNIVERSITY,56154.0,1388253.0,24.931818181818183,1236.0,102,370.8181818181818,3,TEL AVIV UNIVERSITY
UNIVERSITE CLAUDE BERNARD LYON 1,42248.0,1050795.0,22.9595,766.0,132,374.6,3,UNIVERSITE CLAUDE BERNARD LYON 1
UNIVERSITY OF GENEVA,41617.0,1303872.0,30.64944444444445,1155.0,41,374.6111111111111,3,UNIVERSITY OF GENEVA
ALBERT EINSTEIN COLLEGE OF MEDICINE,17380.0,612981.0,32.44444444444444,522.0,197,375.44444444444446,3,ALBERT EINSTEIN COLLEGE OF MEDICINE
ZHENGZHOU UNIVERSITY,73489.0,1527748.0,16.753684210526316,1634.0,28,376.5263157894737,3,ZHENGZHOU UNIVERSITY
ASTRAZENECA,12585.0,507795.0,41.03857142857142,527.0,30,377.42857142857144,3,ASTRAZENECA
POLISH ACADEMY OF SCIENCES,57858.0,1066888.0,18.2755,635.0,54,378.3,3,POLISH ACADEMY OF SCIENCES
DEAKIN UNIVERSITY,31754.0,759898.0,24.285333333333334,658.0,93,379.8,3,DEAKIN UNIVERSITY
UNIVERSITY MEDICAL CENTER HAMBURG-EPPENDORF,25517.0,670159.0,26.126666666666665,666.0,176,380.1111111111111,3,UNIVERSITY MEDICAL CENTER HAMBURG-EPPENDORF
UTRECHT UNIVERSITY MEDICAL CENTER,30944.0,1085646.0,41.410000000000004,983.0,92,380.9166666666667,3,UTRECHT UNIVERSITY MEDICAL CENTER
ISLAMIC AZAD UNIVERSITY,71793.0,1257528.0,15.80105263157895,734.0,28,380.94736842105266,3,ISLAMIC AZAD UNIVERSITY
TONGJI UNIVERSITY,82543.0,1649865.0,18.182,1316.0,16,380.95,3,TONGJI UNIVERSITY
INDIANA UNIVERSITY SYSTEM,53062.0,1370842.0,27.995238095238093,1197.0,29,381.0,3,INDIANA UNIVERSITY SYSTEM
KOREA UNIVERSITY,52876.0,1141602.0,19.28684210526316,856.0,93,381.36842105263156,3,KOREA UNIVERSITY
UNIVERSITE DE BORDEAUX,37354.0,993575.0,23.901,805.0,157,381.85,3,UNIVERSITE DE BORDEAUX
UNIVERSITY OF VIRGINIA,39359.0,1130766.0,28.384285714285717,982.0,119,391.14285714285717,3,UNIVERSITY OF VIRGINIA
BOSTON UNIVERSITY,46765.0,1434285.0,30.891,1285.0,56,392.55,3,BOSTON UNIVERSITY
TECHNISCHE UNIVERSITAT DRESDEN,39594.0,1055485.0,27.493157894736843,889.0,128,394.42105263157896,3,TECHNISCHE UNIVERSITAT DRESDEN
UNIVERSITY OF FREIBURG,35088.0,950485.0,27.49833333333333,839.0,138,398.44444444444446,3,UNIVERSITY OF FREIBURG
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,55500.0,843563.0,14.926842105263159,485.0,81,398.5263157894737,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO
KAROLINSKA UNIVERSITY HOSPITAL,22624.0,759915.0,31.62888888888889,740.0,81,398.8888888888889,3,KAROLINSKA UNIVERSITY HOSPITAL
UNIVERSITY OF FLORENCE,41071.0,921953.0,20.857499999999998,702.0,137,399.6,3,UNIVERSITY OF FLORENCE
YONSEI UNIVERSITY,61858.0,1328419.0,19.539473684210527,1070.0,114,402.2105263157895,3,YONSEI UNIVERSITY
UNIVERSITY OF OTTAWA,45290.0,1269926.0,24.200526315789475,1091.0,76,402.63157894736844,3,UNIVERSITY OF OTTAWA
ARIZONA STATE UNIVERSITY-TEMPE,33541.0,856168.0,27.159444444444446,649.0,51,402.77777777777777,3,ARIZONA STATE UNIVERSITY-TEMPE
EMORY UNIVERSITY,56886.0,1822846.0,28.601176470588236,1720.0,42,403.0,3,EMORY UNIVERSITY
ARIZONA STATE UNIVERSITY,40904.0,991417.0,25.852272727272727,767.0,37,403.1818181818182,3,ARIZONA STATE UNIVERSITY
UNIVERSITY OF HAMBURG,48008.0,1225308.0,25.288095238095234,1118.0,82,403.85714285714283,3,UNIVERSITY OF HAMBURG
HONG KONG POLYTECHNIC UNIVERSITY,51414.0,1276862.0,23.82588235294118,1413.0,19,403.94117647058823,3,HONG KONG POLYTECHNIC UNIVERSITY
UNIVERSITY OF TURIN,42309.0,1056816.0,22.56142857142857,911.0,131,404.1904761904762,3,UNIVERSITY OF TURIN
CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED,55264.0,1721115.0,25.432666666666666,1710.0,32,404.26666666666665,3,CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET),62621.0,912529.0,14.651052631578947,460.0,23,405.0,3,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET)
UNIVERSITY OF GOTTINGEN,33597.0,1013830.0,28.245238095238093,815.0,88,408.8095238095238,3,UNIVERSITY OF GOTTINGEN
MCMASTER UNIVERSITY,45347.0,1427033.0,29.2395,1281.0,44,408.9,3,MCMASTER UNIVERSITY
WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO),37170.0,901537.0,24.253333333333334,786.0,150,409.3888888888889,3,WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO)
PENNSYLVANIA MEDICINE,23689.0,679641.0,30.11,594.0,149,409.8888888888889,3,PENNSYLVANIA MEDICINE
DANA-FARBER CANCER INSTITUTE,22594.0,1459072.0,57.876999999999995,1872.0,33,410.2,3,DANA-FARBER CANCER INSTITUTE
LOUISIANA STATE UNIVERSITY SYSTEM,30192.0,742853.0,25.144736842105264,593.0,223,413.36842105263156,3,LOUISIANA STATE UNIVERSITY SYSTEM
CLEVELAND CLINIC FOUNDATION,35778.0,1175260.0,30.223333333333333,1299.0,51,414.0,3,CLEVELAND CLINIC FOUNDATION
UNIVERSITY OF WATERLOO,34537.0,848466.0,24.802777777777777,737.0,80,414.22222222222223,3,UNIVERSITY OF WATERLOO
UNIVERSITY OF VALENCIA,33201.0,858970.0,24.88888888888889,685.0,87,416.55555555555554,3,UNIVERSITY OF VALENCIA
UNIVERSITY OF PISA,36655.0,869207.0,22.09052631578947,642.0,78,417.7368421052632,3,UNIVERSITY OF PISA
QUEEN MARY UNIVERSITY LONDON,33133.0,1090254.0,29.96277777777778,1122.0,100,419.27777777777777,3,QUEEN MARY UNIVERSITY LONDON
UNIVERSITY OF BERN,47235.0,1365927.0,27.797619047619047,1338.0,96,419.5238095238095,3,UNIVERSITY OF BERN
SOUTHEAST UNIVERSITY - CHINA,79367.0,1474010.0,17.76529411764706,1216.0,5,419.52941176470586,3,SOUTHEAST UNIVERSITY - CHINA
BROWN UNIVERSITY,37529.0,1058918.0,28.38157894736842,874.0,76,419.94736842105266,3,BROWN UNIVERSITY
FRED HUTCHINSON CANCER CENTER,13367.0,704132.0,47.16555555555556,790.0,106,420.3333333333333,3,FRED HUTCHINSON CANCER CENTER
LAVAL UNIVERSITY,30169.0,735787.0,23.129444444444445,581.0,254,421.27777777777777,3,LAVAL UNIVERSITY
UNIVERSITY OF WARWICK,34595.0,969084.0,28.3025,847.0,45,421.4,3,UNIVERSITY OF WARWICK
UNIVERSITY OF ANTWERP,28261.0,800705.0,32.53842105263158,631.0,96,422.6842105263158,3,UNIVERSITY OF ANTWERP
CHINA UNIVERSITY OF MINING & TECHNOLOGY,43991.0,712728.0,16.951,490.0,33,422.8,3,CHINA UNIVERSITY OF MINING & TECHNOLOGY
GRIFFITH UNIVERSITY,28944.0,744242.0,28.68111111111111,579.0,88,424.3333333333333,3,GRIFFITH UNIVERSITY
ROCHE HOLDING,12790.0,584220.0,44.19,643.0,55,425.8888888888889,3,ROCHE HOLDING
UNIV LILLE NORD FRANCE COMUE,41837.0,935146.0,20.2485,721.0,192,427.7,3,UNIV LILLE NORD FRANCE COMUE
UNIVERSITY OF CONNECTICUT,30964.0,693124.0,23.5195,533.0,121,430.4,3,UNIVERSITY OF CONNECTICUT
VANDERBILT UNIVERSITY,53511.0,1710461.0,28.831666666666667,1686.0,55,430.72222222222223,3,VANDERBILT UNIVERSITY
WAGENINGEN UNIVERSITY & RESEARCH,35096.0,1165632.0,34.27,1084.0,8,431.29411764705884,3,WAGENINGEN UNIVERSITY & RESEARCH
SHENZHEN UNIVERSITY,50660.0,1142608.0,19.1265,1136.0,37,431.3,3,SHENZHEN UNIVERSITY
UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,42721.0,859010.0,17.81625,606.0,20,432.125,3,UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING
DONGHUA UNIVERSITY,18968.0,461054.0,20.994285714285716,362.0,67,434.42857142857144,3,DONGHUA UNIVERSITY
UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS,39623.0,1229164.0,25.920909090909092,1257.0,65,436.09090909090907,3,UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS
CURTIN UNIVERSITY,30203.0,841949.0,27.408333333333335,717.0,116,436.5,3,CURTIN UNIVERSITY
JINAN UNIVERSITY,40054.0,789829.0,19.291052631578946,629.0,83,437.2631578947368,3,JINAN UNIVERSITY
UNIVERSITY COLLEGE DUBLIN,29043.0,735194.0,25.925789473684212,669.0,46,438.5263157894737,3,UNIVERSITY COLLEGE DUBLIN
SACKLER FACULTY OF MEDICINE,23765.0,582671.0,26.736666666666665,513.0,184,440.6666666666667,3,SACKLER FACULTY OF MEDICINE
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,32740.0,723380.0,23.29,531.0,92,440.85,3,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY
SUNGKYUNKWAN UNIVERSITY (SKKU),52511.0,1156098.0,18.94473684210526,907.0,62,442.94736842105266,3,SUNGKYUNKWAN UNIVERSITY (SKKU)
CHARLES UNIVERSITY PRAGUE,43470.0,896338.0,18.07894736842105,780.0,194,443.8421052631579,3,CHARLES UNIVERSITY PRAGUE
MEDICAL UNIVERSITY OF SOUTH CAROLINA,17807.0,501848.0,28.2475,418.0,205,444.25,3,MEDICAL UNIVERSITY OF SOUTH CAROLINA
INDIANA UNIVERSITY BLOOMINGTON,42453.0,1115445.0,28.664285714285718,949.0,34,444.6666666666667,3,INDIANA UNIVERSITY BLOOMINGTON
SOOCHOW UNIVERSITY - CHINA,58793.0,1348005.0,21.096842105263157,1123.0,22,446.7368421052632,3,SOOCHOW UNIVERSITY - CHINA
UNIVERSITY OF TENNESSEE KNOXVILLE,30936.0,782411.0,22.39,574.0,112,447.1764705882353,3,UNIVERSITY OF TENNESSEE KNOXVILLE
ERASMUS UNIVERSITY ROTTERDAM,50685.0,1642634.0,32.50875,1579.0,23,447.4375,3,ERASMUS UNIVERSITY ROTTERDAM
LANZHOU UNIVERSITY,42403.0,779339.0,17.22,601.0,84,449.0,3,LANZHOU UNIVERSITY
ARGONNE NATIONAL LABORATORY,20636.0,801715.0,51.060909090909085,763.0,51,449.27272727272725,3,ARGONNE NATIONAL LABORATORY
GEORGIA INSTITUTE OF TECHNOLOGY,38461.0,1264692.0,29.57315789473684,1014.0,26,450.57894736842104,3,GEORGIA INSTITUTE OF TECHNOLOGY
UNITED STATES DEPARTMENT OF AGRICULTURE (USDA),57700.0,1268109.0,25.947499999999998,867.0,3,450.8125,3,UNITED STATES DEPARTMENT OF AGRICULTURE (USDA)
NIH NATIONAL CANCER INSTITUTE (NCI),24782.0,1115854.0,37.74769230769231,1035.0,56,450.9230769230769,3,NIH NATIONAL CANCER INSTITUTE (NCI)
